Angra dos Reis;3591;
Aperibé;3592;
Araruama;3593;
Areal;3594;
Armação dos Búzios;3595;
Arraial do Cabo;3596;
Barra do Piraí;3597;
Barra Mansa;3598;
Belford Roxo;3599;
Bom Jardim;3600;
Bom Jesus do Itabapoana;3601;
Cabo Frio;3602;
Cachoeiras de Macacu;3603;
Cambuci;3604;
Campos dos Goytacazes;3605;
Cantagalo;3606;
Carapebus;3607;
Cardoso Moreira;3608;
Carmo;3609;
Casimiro de Abreu;3610;
Comendador Levy Gasparian;3611;
Conceição de Macabu;3612;
Cordeiro;3613;
Duas Barras;3614;
Duque de Caxias;3615;
Engenheiro Paulo de Frontin;3616;
Guapimirim;3617;
Iguaba Grande;3618;
Itaboraí;3619;
Itaguaí;3620;
Italva;3621;
Itaocara;3622;
Itaperuna;3623;
Itatiaia;3624;
Japeri;3625;
Laje do Muriaé;3626;
Macaé;3627;
Macuco;3628;
Magé;3629;
Mangaratiba;3630;
Maricá;3631;
Mendes;3632;
Mesquita;3633;
Miguel Pereira;3634;
Miracema;3635;
Natividade;3636;
Nilópolis;3637;
Niterói;3638;
Nova Friburgo;3639;
Nova Iguaçu;3640;
Paracambi;3641;
Paraíba do Sul;3642;
Paraty;3643;
Paty do Alferes;3644;
Petrópolis;3645;
Pinheiral;3646;
Piraí;3647;
Porciúncula;3648;
Porto Real;3649;
Quatis;3650;
Queimados;3651;
Quissamã;3652;
Resende;3653;
Rio Bonito;3654;
Rio Claro;3655;
Rio das Flores;3656;
Rio das Ostras;3657;
Rio de Janeiro;3658;
Santa Maria Madalena;3659;
Santo Antônio de Pádua;3660;
São Fidélis;3661;
São Francisco de Itabapoana;3662;
São Gonçalo;3663;
São João da Barra;3664;
São João de Meriti;3665;
São José de Ubá;3666;
São José do Vale do Rio Preto;3667;
São Pedro da Aldeia;3668;
São Sebastião do Alto;3669;
Sapucaia;3670;
Saquarema;3671;
Seropédica;3672;
Silva Jardim;3673;
Sumidouro;3674;
Tanguá;3675;
Teresópolis;3676;
Trajano de Moraes;3677;
Três Rios;3678;
Valença;3679;
Varre-Sai;3680;
Vassouras;3681;
Volta Redonda;3682